A Coruña، Spain;A Coruña Airport;LCG
Polokwane, South Africa;Polokwane International Airport;PTG
Poltava، Ukraine;Poltava Airport;PLV
Ponce, Puerto Rico;Mercedita International Airport;PSE
Ponta Delgada، Portugal;João Paulo II Airport;PDL
Pontianak، Indonesia;Supadio International Airport;PNK
Popayán، Colombia;Guillermo León Valencia Airport;PPN
Poprad، Slovakia;Poprad-Tatry Airport;TAT
Port Harcourt, Nigeria;Port Harcourt International Airport;PHC
Port Moresby، Papua New Guinea;Jacksons International Airport;POM
Port of Spain، Trinidad and Tobago;Piarco International Airport;POS
Port Sudan, Sudan;Port Sudan New International Airport;PZU
Port Vila، Vanuatu;Bauerfield International Airport;VLI
Port-au-Prince, Haiti;Toussaint Louverture International Airport;PAP
Port-Gentil, Gabon;Port-Gentil International Airport;POG
Portland (ME)، United States;Portland International Jetport;PWM
Portland (OR)، United States;Portland International Airport;PDX
Porto Alegre، Brazil;Salgado Filho Porto Alegre International Airport;POA
Porto Santo Island، Portugal;Porto Santo Airport;PXO
Porto Velho، Brazil;Governador Jorge Teixeira de Oliveira International Airport;PVH
Porto، Portugal;Porto Airport;OPO
Portorož، Slovenia;Portorož Airport;POW
Posadas، Argentina;Libertador General José de San Martín Airport;PSS
Poznań، Poland;Poznań–Ławica Airport;POZ
Prague، Czech Republic;Václav Havel Airport;PRG
Praia, Santiago Island, Cape Verde;Nelson Mandela International Airport;RAI
Preveza، Greece;Aktion National Airport;PVK
Pristina، Kosovo;Pristina International Airport;PRN
Providence (Warwick)، United States;Rhode Island T. F. Green International Airport;PVD
Providence Island، Colombia;El Embrujo Airport;PVA
Provideniya، Russia;Provideniya Bay Airport;PVS
Pskov، Russia;Pskov Airport;PKV
Puebla، Mexico;Puebla International Airport;PBC
Puerto Escondido، Mexico;Puerto Escondido International Airport;PXM
Puerto Iguazú، Argentina;Cataratas del Iguazú International Airport;IGR
Puerto Montt، Chile;El Tepual International Airport;PMC
Puerto Princesa، Philippines;Puerto Princesa International Airport;PPS
Puerto Vallarta، Mexico;Puerto Vallarta International Airport;PVR
Pula، Croatia;Pula Airport;PUY
Pune، India;Pune Airport;PNQ
Punta Arenas، Chile;Presidente Carlos Ibáñez del Campo International Airport;PUQ
Punta Cana, Dominican Republic;Punta Cana International Airport;PUJ
Punta del Este، Uruguay;Capitán de Corbeta Carlos A. Curbelo International Airport;PDP
Pyongyang، North Korea;Pyongyang International Airport;FNJ
Qabala، Azerbaijan;Qabala International Airport;GBB
Qamishli، Syria;Qamishli Airport;KAC
Qarshi، Uzbekistan;Karshi Airport;KSQ
Qeshm Island، Iran;Qeshm International Airport;GSM
Qingdao، China;Qingdao Jiaodong International Airport;TAO
Qinhuangdao، China;Qinhuangdao Beidaihe Airport;BPE
Qionghai، China;Qionghai Bo'ao International Airport;BAR
Qiqihar، China;Qiqihar Sanjiazi Airport;NDG
Quảng Nam، Vietnam;Chu Lai Airport;VCL
Quanzhou، China;Quanzhou Jinjiang International Airport;JJN
Québec City، Canada;Québec City Jean Lesage International Airport;YQB
Queenstown، New Zealand;Queenstown Airport;ZQN
Querétaro، Mexico;Querétaro Intercontinental Airport;QRO
Quetta، Pakistan;Quetta International Airport;UET
Quibdó، Colombia;El Caraño Airport;UIB
Quito، Ecuador;Mariscal Sucre International Airport;UIO
Rabat, Morocco;Rabat–Salé Airport;RBA
Racine، United States;Batten International Airport;RAC
Rahim Yar Khan، Pakistan;Shaikh Zayed International Airport;RYK
Rajshahi، Bangladesh;Shah Makhdum Airport;RJH
Raleigh/Durham، United States;Raleigh–Durham International Airport;RDU
Ranchi، India;Birsa Munda Airport;IXR
Rangpur، Bangladesh;Saidpur Airport;SPD
Ras Al Khaimah، United Arab Emirates;Ras Al Khaimah International Airport;RKT
Rasht، Iran;Rasht Airport;RAS
Rayong/Pattaya، Thailand;U-Tapao International Airport;UTP
Recife، Brazil;Guararapes International Airport;REC
Regina، Canada;Regina International Airport;YQR
Reno، United States;Reno–Tahoe International Airport;RNO
Resistencia، Argentina;Resistencia International Airport;RES
Reus، Spain;Reus Airport;REU
Reykjavík، Iceland;Keflavik International Airport;KEF
Reynosa، Mexico;Reynosa International Airport;REX
Rhodes، Greece;Rhodes International Airport;RHO
Richmond (VA) (Sandston)، United States;Richmond International Airport;RIC
Riga، Latvia;Riga International Airport;RIX
Rijeka، Croatia;Rijeka Airport;RJK
Rimini، Italy;Federico Fellini Airport;RMI
Rio Branco، Brazil;Rio Branco International Airport;RBR
Rio de Janeiro، Brazil;Rio de Janeiro/Galeão International Airport;GIG
Río Gallegos، Argentina;Piloto Civil Norberto Fernández International Airport;RGL
Río Grande، Argentina;Hermes Quijada International Airport;RGA
Rio Hato، Panama;Scarlett Martínez International Airport;RIH
Riohacha، Colombia;Almirante Padilla Airport;RCH
Rivera، Uruguay;Rivera International Airport;RVY
Riyadh، Saudi Arabia;King Khalid International Airport;RUH
Road Town, British Virgin Islands;Terrance B. Lettsome International Airport;EIS
Roatán، Honduras;Juan Manuel Gálvez International Airport;RTB
Rochester (MN)، United States;Rochester International Airport;RST
Rochester (NY)، United States;Greater Rochester International Airport;ROC
Rockford (IL)، United States;Chicago Rockford International Airport;RFD
Rodez، France;Rodez–Aveyron Airport;RDZ
Rome، Italy;Leonardo da Vinci–Fiumicino Airport;FCO
Rosario، Argentina;Rosario – Islas Malvinas International Airport;ROS
Rostov-on-Don، Russia;Platov International Airport;ROV
Rota، Northern Mariana Islands;Rota International Airport;ROP
Rotterdam، Netherlands;Rotterdam The Hague Airport;RTM
Rovaniemi، Finland;Rovaniemi Airport;RVN
Rzeszów، Poland;Rzeszów–Jasionka Airport;RZE
Sabha, Libya;Sabha Airport;SEB
Sacramento، United States;Sacramento International Airport;SMF
Saint Catherine, Egypt;St. Catherine International Airport;SKV
Saint Helena, Saint Helena, Ascension and Tristan da Cunha;Saint Helena Airport;HLE
Saint Helier (Jersey)، Crown Dependencies;Jersey Airport;JER
Saint Jean, Saint Barthélemy;Gustaf III Airport;SBH
Saint John، Canada;Saint John Airport;YSJ
Saint Peter Port (Guernsey)، Crown Dependencies;Guernsey Airport;GCI
Saint-Denis, Réunion;Roland Garros Airport;RUN
Saint-Étienne، France;Saint-Étienne–Bouthéon Airport;EBU
Saint-Pierre، Saint Pierre and Miquelon;Saint-Pierre Airport;FSP
Saipan، Northern Mariana Islands;Saipan International Airport;SPN
Sal Island, Cape Verde;Amílcar Cabral International Airport;SID
Salalah، Oman;Salalah International Airport;SLL
Salerno، Italy;Salerno Costa d'Amalfi Airport;QSR
Salt Lake City، United States;Salt Lake City International Airport;SLC
Salta، Argentina;Martín Miguel de Güemes International Airport;SLA
Saltillo، Mexico;Saltillo International Airport;SLW
Salvador، Brazil;Deputado Luís Eduardo Magalhães International Airport;SSA
Salzburg، Austria;Salzburg Airport;SZG
Samana, Dominican Republic;Samaná El Catey International Airport;AZS
Samara، Russia;Samara Kurumoch Airport;KUF
Samarinda، Indonesia;Aji Pangeran Tumenggung Pranoto International Airport;AAP
Samarkand، Uzbekistan;Samarkand International Airport;SKD
Samos، Greece;Samos International Airport;SMI
Samsun، Turkey;Samsun-Çarşamba Airport;SZF
San Andrés، Colombia;Gustavo Rojas Pinilla International Airport;ADZ
San Antonio، United States;San Antonio International Airport;SAT
San Bernardino، United States;San Bernardino International Airport;SBD
San Diego، United States;San Diego International Airport;SAN
San Felipe de Puerto Plata, Dominican Republic;Gregorio Luperón International Airport;POP
San Francisco، United States;San Francisco International Airport;SFO
San Jose (CA)، United States;San Jose International Airport;SJC
San José، Costa Rica;Juan Santamaría International Airport;SJO
San Juan, Puerto Rico;Fernando Luis Ribas Dominicci Airport;SIG
San Luis Potosí، Mexico;San Luis Potosí International Airport;SLP
San Miguel de Tucumán، Argentina;Teniente Benjamín Matienzo International Airport;TUC
San Pedro Sula، Honduras;Ramón Villeda Morales International Airport;SAP
San Salvador de Jujuy، Argentina;Goberنador Horacio Guzmán International Airport;JUJ
San Salvador، El Salvador;El Salvador International Airport;SAL
Sanaa، Yemen;Sanaa International Airport;SAH
Sanford (FL)، United States;Orlando Sanford International Airport;SFB
Santa Clara, Cuba;Abel Santamaría Airport;SNU
Santa Cruz de la Sierra، Bolivia;Viru Viru International Airport;VVI
Santa Marta، Colombia;Simón Bolívar International Airport;SMR
Santa Rosa del Conlara، Argentina;Valle del Conlara Airport;RLO
Santander، Spain;Santander Airport;SDR
Santiago de Compostela، Spain;Santiago de Compostela Airport;SCQ
Santiago de Cuba, Cuba;Antonio Maceo Airport;SCU
Santiago de los Caballeros, Dominican Republic;Cibao International Airport;STI
Santiago، Chile;Arturo Merino Benítez International Airport;SCL
Santo Domingo, Dominican Republic;Las Américas International Airport;SDQ
Santorini، Greece;Santorini (Thira) International Airport;JTR
Sanya، China;Sanya Phoenix International Airport;SYX
São Luís، Brazil;Marechal Cunha Machado International Airport;SLZ
São Paulo، Brazil;São Paulo–Congonhas Airport;CGH
São Tomé, São Tomé and Príncipe;São Tomé International Airport;TMS
São Vicente, Cape Verde;Cesária Évora Airport;VXE
Sapporo، Japan;New Chitose Airport;CTS
Sarajevo، Bosnia and Herzegovina;Sarajevo International Airport;SJJ
Sarasota/Bradenton، United States;Sarasota–Bradenton International Airport;SRQ
Saratov، Russia;Saratov Gagarin Airport;GSV
Sari، Iran;Dasht-e Naz Airport;SRY
Satu Mare، Romania;Satu Mare International Airport;SUJ
Savannah (GA)، United States;Savannah/Hilton Head International Airport;SAV
Savannakhet، Laos;Savannakhet Airport;ZVK
Savonlinna، Finland;Savonlinna Airport;SVL
Seattle، United States;Kenmore Air Harbor Seaplane Base;LKE
Seiyun، Yemen;Seiyun Airport;GXF
Semarang، Indonesia;Jenderal Ahmad Yani International Airport;SRG
Semey، Kazakhstan;Semey Airport;PLX
Sendai، Japan;Sendai Airport;SDJ
Seoul، South Korea;Gimpo International Airport;GMP
Sétif, Algeria;Ain Arnat Airport;QSF
Seville، Spain;Seville Airport;SVQ
Sfax, Tunisia;Sfax–Thyna International Airport;SFA
Shanghai، China;Shanghai Hongqiao International Airport;SHA
Shannon، Ireland;Shannon Airport;SNN
Sharjah، United Arab Emirates;Sharjah International Airport;SHJ
Sharm El Sheikh, Egypt;Sharm El Sheikh International Airport;SSH
Sheboygan، United States;Sheboygan County Memorial Airport;SBM
Shenyang، China;Shenyang Taoxian International Airport;SHE
Shenzhen، China;Shenzhen Bao'an International Airport;SZX
Shijiazhuang، China;Shijiazhuang Zhengding International Airport;SJW
Shiraz، Iran;Shiraz International Airport;SYZ
Shizuoka، Japan;Shizuoka Airport;FSZ
Sialkot، Pakistan;Sialkot International Airport;SKT
Šiauliai، Lithuania;Šiauliai International Airport;SQQ
Sibiu، Romania;Sibiu International Airport;SBZ
Siddharthanagar، Nepal;Gautam Buddha International Airport;BWA
Siem Reap، Cambodia;Siem Reap International Airport;REP
Sihanoukville، Cambodia;Sihanouk International Airport;KOS
Siliguri، India;Bagdogra International Airport;IXB
Simferopol، Ukraine;Simferopol International Airport;SIP
Sincelejo، Colombia;Las Brujas Airport;CZU
Singapore، Singapore;Changi Airport;SIN
Skiathos، Greece;Skiathos International Airport;JSI
Skopje، North Macedonia;Skopje International Airport;SKP
Skyros، Greece;Skyros Island National Airport;SKU
Sochi، Russia;Sochi International Airport;AER
Socotra، Yemen;Socotra Airport;SCT
Sofia، Bulgaria;Sofia Airport;SOF
Sohag, Egypt;Sohag International Airport;HMB
Sohar، Oman;Sohar International Airport;OHS
Sokhumi، Georgia;Sukhumi Babushara Airport;SUI
Sokoto, Nigeria;Sadiq Abubakar III International Airport;SKO
Sorong، Indonesia;Domine Eduard Osok International Airport;SOQ
South Eleuthera, The Bahamas;Rock Sound International Airport;RSD
South Goa، India;Dabolim Airport;GOI
Southampton، England;Southampton Airport;SOU
Split، Croatia;Split Airport;SPU
Spokane، United States;Spokane International Airport;GEG
Srinagar، India;Srinagar Airport;SXR
St George’s, Grenada;Maurice Bishop International Airport;GND
St. Gallen، Switzerland;St. Gallen–Altenrhein Airport;ACH
St. John’s, Antigua and Barbuda;V. C. Bird International Airport;ANU
St. John's، Canada;St. John's International Airport;YYT
St. Louis، United States;St. Louis Lambert International Airport;STL
St. Petersburg (FL)، United States;St. Pete–Clearwater International Airport;PIE
St. Petersburg، Russia;Pulkovo Airport;LED
Stavanger، Norway;Stavanger Airport;SVG
Stavropol، Russia;Stavropol Shpakovskoye Airport;STW
Stockholm، Sweden;Stockholm Arlanda Airport;ARN
Strasbourg، France;Strasbourg Airport;SXB
Stuttgart، Germany;Stuttgart Airport;STR
Suceava، Romania;Suceava International Airport;SCV
Sulaymaniyah، Iraq;Sulaimaniyah International Airport;ISU
Sundsvall، Sweden;Sundsvall–Timrå Airport;SDL
Sunshine Coast، Australia;Sunshine Coast Airport;MCY
Sunyani, Ghana;Sunyani Airport;NYI
Surabaya، Indonesia;Juanda International Airport;SUB
Surakarta، Indonesia;Adisoemarmo International Airport;SOC
Surat Thani، Thailand;Surat Thani International Airport;URT
Surat، India;Surat Airport;STV
Surgut، Russia;Farman Salmanov Surgut Airport;SGC
Suva، Fiji;Nausori International Airport;SUV
Sydney، Australia;Sydney Airport;SYD
Sydney، Canada;JA Douglas McCurdy Sydney Airport;YQY
Syktyvkar، Russia;Syktyvkar Airport;SCW
Sylhet، Bangladesh;Osmani International Airport;ZYL
Şymkent، Kazakhstan;Şymkent International Airport;CIT
Syracuse، United States;Syracuse Hancock International Airport;SYR
Szczecin، Poland;Solidarity Szczecin–Goleniów Airport;SZZ
Taba, Egypt;Taba International Airport;TCP
Tabarka, Tunisia;Tabarka–Aïn Draham International Airport;TBJ
Tabriz، Iran;Tabriz International Airport;TBZ
Tabuk، Saudi Arabia;Prince Sultan bin Abdulaziz Airport;TUU
Taichung، Taiwan;Taichung International Airport;RMQ
Ta'if، Saudi Arabia;Taif International Airport;TIF
Tainan، Taiwan;Tainan Airport;TNN
Taipa، Macau;Macau International Airport;MFM
Taipei، Taiwan;Taipei Songshan Airport;TSA
Taiyuan، China;Taiyuan Wusu International Airport;TYN
Tajoura, Libya;Mitiga International Airport;MJI
Takoradi, Ghana;Takoradi Airport;TKD
Tallahassee، United States;Tallahassee International Airport;TLH
Tallinn، Estonia;Lennart Meri Tallinn Airport;TLL
Tamale, Ghana;Tamale Airport;TML
Tampa، United States;Tampa International Airport;TPA
Tampere، Finland;Tampere–Pirkkala Airport;TMP
Tampico، Mexico;Tampico International Airport;TAM
Tanga, Tanzania;Tanga Airport;TGT
Tangier, Morocco;Tangier Ibn Battouta Airport;TNG
Tanjungpandan، Indonesia;H.A.S. Hanandjoeddin International Airport;TJQ
Tarawa، Kiribati;Bonriki International Airport;TRW
Taraz، Kazakhstan;Taraz Airport;DMB
Târgu Mureș، Romania;Târgu Mureș International Airport;TGM
Tartu، Estonia;Tartu Airport;TAY
Tashkent، Uzbekistan;Islam Karimov Tashkent International Airport;TAS
Tbilisi، Georgia;Tbilisi International Airport;TBS
Tegucigalpa، Honduras;Toncontín International Airport;TGU
Tehran، Iran;Imam Khomeini International Airport;IKA
Tel Aviv، Palestine;Ben Gurion Airport;TLV
Tenerife، Spain;Tenerife North–Ciudad de La Laguna Airport;TFN
Tepic، Mexico;Tepic International Airport;TPQ
Terceira Island، Portugal;Lajes Airport;TER
Teresina، Brazil;Teresina Airport;THE
Termas de Río Hondo، Argentina;Termas de Río Hondo International Airport;RHD
Termez، Uzbekistan;Termez Airport;TMJ
Tete, Mozambique;Chingozi Airport;TET
Tetouan, Morocco;Sania Ramel Airport;TTU
The Valley, Anguilla;Clayton J. Lloyd International Airport;AXA
Thessaloniki، Greece;Thessaloniki Airport;SKG
Thiruvananthapuram، India;Trivandrum International Airport;TRV
Thunder Bay، Canada;Thunder Bay International Airport;YQT
Tianjin، China;Tianjin Binhai International Airport;TSN
Tijuana، Mexico;Tijuana International Airport;TIJ
Timișoara، Romania;Timișoara Traian Vuia International Airport;TSR
Tinian، Northern Mariana Islands;Tinian International Airport;TIQ
Tirana، Albania;Tirana International Airport Nënë Tereza;TIA
Tiruchirappalli، India;Tiruchirappalli International Airport;TRZ
Tirupati، India;Tirupati International Airport;TIR
Tivat، Montenegro;Tivat Airport;TIV
Tlemcen, Algeria;Zenata – Messali El Hadj Airport;TLM
Toamasina, Madagascar;Toamasina Airport;TMM
Tobago، Trinidad and Tobago;A.N.R. Robinson International Airport;TAB
Tokyo، Japan;Haneda Airport;HND
Tôlanaro, Madagascar;Tôlanaro Airport;FTU
Toliara, Madagascar;Toliara Airport;TLE
Tolú، Colombia;Golfo de Morrosquillo Airport;TLU
Toluca، Mexico;Toluca International Airport;TLC
Tomsk، Russia;Bogashevo Airport;TOF
Toronto (Mississauga)، Canada;Toronto Pearson International Airport;YYZ
Toronto، Canada;Billy Bishop Toronto City Airport;YTZ
Torreón، Mexico;Torreón International Airport;TRC
Toulon، France;Toulon–Hyères Airport;TLN
Toulouse، France;Toulouse–Blagnac Airport;TLS
Tours، France;Tours Val de Loire Airport;TUF
Tozeur, Tunisia;Tozeur–Nefta International Airport;TOE
Trabzon، Turkey;Trabzon Airport;TZX
Trapani، Italy;Vincenzo Florio Airport;TPS
Trelew، Argentina;Almirante Marcos A. Zar Airport;REL
Trieste، Italy;Friuli Venezia Giulia Airport;TRS
Tripoli, Libya;Tripoli International Airport;TIP
Tromsø، Norway;Tromsø Airport;TOS
Trondheim، Norway;Trondheim Airport;TRD
Trujillo، Peru;Carlos Martínez de Pinillos International Airport;TRU
Tucson، United States;Tucson International Airport;TUS
Tulcán، Ecuador;Teniente Coronel Luis a Mantilla International Airport;TUA
Tulsa، United States;Tulsa International Airport;TUL
Tulum، Mexico;Tulum International Airport;TQO
Tumaco، Colombia;La Florida Airport;TCO
Tunis, Tunisia;Tunis–Carthage International Airport;TUN
Turbat، Pakistan;Turbat International Airport;TUK
Turin، Italy;Caselle Airport;TRN
Türkmenabat، Turkmenistan;Turkmenabat International Airport;CRZ
Turkmenbashi، Turkmenistan;Turkmenbashi International Airport;KRW
Turku، Finland;Turku Airport;TKU
Tuxtla Gutiérrez، Mexico;Tuxtla Gutiérrez International Airport;TGZ
Tuzla، Bosnia and Herzegovina;Tuzla International Airport;TZL
Tyumen، Russia;Roshchino International Airport;TJM
Uberlândia، Brazil;Uberlândia Airport;UDI
Udon Thani، Thailand;Udon Thani International Airport;UTH
Ufa، Russia;Ufa International Airport;UFA
Ulaanbaatar، Mongolia;Chinggis Khaan International Airport;UBN
Ulanqab، China;Ulanqab Jining Airport;UCB
Ulan-Ude، Russia;Baikal International Airport;UUD
Ulyanovsk، Russia;Ulyanovsk Baratayevka Airport;ULV
Umeå، Sweden;Umeå Airport;UME
Unguja, Zanzibar, Tanzania;Abeid Amani Karume International Airport;ZNZ
Urgench، Uzbekistan;Urgench International Airport;UGC
Urmia، Iran;Urmia Airport;OMH
Uruapan، Mexico;Uruapan International Airport;UPN
Ürümqi، China;Ürümqi Diwopu International Airport;URC
Ushuaia، Argentina;Ushuaia – Malvinas Argentinas International Airport;USH
Uzhhorod، Ukraine;Uzhhorod International Airport;UDJ
Vaasa، Finland;Vaasa Airport;VAA
Vadodara، India;Vadodara Airport;BDQ
Vágar (Faroe Islands)، Kingdom of Denmark;Vágar Airport;FAE
Valencia، Spain;Valencia Airport;VLC
Valencia، Venezuela;Arturo Michelena International Airport;VLN
Valladolid، Spain;Valladolid Airport;VLL
Valledupar، Colombia;Alfonso López Pumarejo Airport;VUP
Vân Đồn، Vietnam;Van Don International Airport;VDO
Vancouver (Richmond)، Canada;Vancouver International Airport;YVR
Varadero, Cuba;Juan Gualberto Gómez Airport;VRA
Varanasi، India;Lal Bahadur Shastri Airport;VNS
Varna، Bulgaria;Varna Airport;VAR
Vavaʻu، Tonga;Vavaʻu International Airport;VAV
Växjö، Sweden;Växjö Airport;VXO
Venice، Italy;Venice Marco Polo Airport;VCE
Ventspils، Latvia;Ventspils International Airport;VNT
Veracruz، Mexico;Veracruz International Airport;VER
Verona، Italy;Verona Villafranca Airport;VRN
Victoria (Sidney)، Canada;Victoria International Airport;YYJ
Victoria Falls, Zimbabwe;Victoria Falls Airport;VFA
Victoria, Seychelles;Seychelles International Airport;SEZ
Vienna، Austria;Vienna International Airport;VIE
Vientiane، Laos;Wattay International Airport;VTE
Vieux Fort Quarter, Saint Lucia;Hewanorra International Airport;UVF
Vigo، Spain;Vigo–Peinador Airport;VGO
Vijayawada، India;Vijayawada International Airport;VGA
Vilankulo, Mozambique;Vilankulo Airport;VNX
Villahermosa، Mexico;Villahermosa International Airport;VSA
Villavicencio، Colombia;La Vanguardia Airport;VVC
Vilnius، Lithuania;Vilnius Airport;VNO
Visakhapatnam، India;Visakhapatnam International Airport;VTZ
Visby، Sweden;Visby Airport;VBY
Vitória، Brazil;Eurico de Aguiar Salles Airport;VIX
Vitoria-Gasteiz، Spain;Vitoria Airport;VIT
Vladikavkaz، Russia;Beslan Airport;OGZ
Vladivostok، Russia;Vladivostok International Airport;VVO
Volgograd، Russia;Volgograd International Airport;VOG
Volos، Greece;Nea Anchialos National Airport;VOL
Voronezh، Russia;Voronezh International Airport;VOZ
Wa, Ghana;Wa Airport;WZA
Wallis، Wallis and Futuna;Hihifo Airport;WLS
Walvis Bay, Namibia;Walvis Bay Airport;WVB
Wanzhou، China;Wanzhou Wuqiao Airport;WXN
Warsaw، Poland;Warsaw Chopin Airport;WAW
Washington, D.C.، United States;Ronald Reagan Washington National Airport;DCA
Weeze، Germany;Weeze Airport;NRN
Weihai، China;Weihai Dashuibo Airport;WEH
Wellington، New Zealand;Wellington Airport;WLG
Wenzhou، China;Wenzhou Yongqiang Airport;WNZ
West Palm Beach، United States;Palm Beach International Airport;PBI
Whitehorse، Canada;Erik Nielsen Whitehorse International Airport;YXY
Wilkes-Barre/Scranton، United States;Wilkes-Barre/Scranton International Airport;AVP
Willemstad, Curaçao;Curaçao International Airport;CUR
Wilmington (NC)، United States;Wilmington International Airport;ILM
Windhoek, Namibia;Hosea Kutako International Airport;WDH
Windsor، Canada;Windsor International Airport;YQG
Winnipeg، Canada;Winnipeg James Armstrong Richardson International Airport;YWG
Wrocław، Poland;Wrocław Airport;WRO
Wuhan، China;Wuhan Tianhe International Airport;WUH
Wuxi، China;Sunan Shuofang International Airport;WUX
Wuyishan، China;Wuyishan Airport;WUS
Xiamen، China;Xiamen Gaoqi International Airport;XMN
Xi'an، China;Xi'an Xianyang International Airport;XIY
Xining، China;Xining Caojiabao International Airport;XNN
Xinzhou، China;Xinzhou Wutaishan Airport;WUT
Xishuangbanna، China;Xishuangbanna Gasa International Airport;JHG
Xuzhou، China;Xuzhou Guanyin Airport;XUZ
Yakutsk، Russia;Yakutsk Airport;YKS
Yanbu، Saudi Arabia;Yanbu Airport;YNB
Yancheng، China;Yancheng Nanyang Airport;YNZ
Yangon، Myanmar;Yangon International Airport;RGN
Yangyang، South Korea;Yangyang International Airport;YNY
Yangzhou، China;Yangzhou Taizhou International Airport;YTY
Yanji، China;Yanji Airport;YNJ
Yantai، China;Yantai Penglai International Airport;YNT
Yaoundé, Cameroon;Yaoundé Nsimalen International Airport;NSI
Yap، Federated States of Micronesia;Yap International Airport;YAP
Yaren District، Nauru;Nauru International Airport;INU
Yaroslavl، Russia;Tunoshna Airport;IAR
Yazd، Iran;Shahid Sadooghi Airport;AZD
Yekaterinburg، Russia;Koltsovo International Airport;SVX
Yerevan، Armenia;Zvartnots International Airport;EVN
Yichang، China;Yichang Sanxia Airport;YIH
Yinchuan، China;Yinchuan Hedong International Airport;INC
Yiwu، China;Yiwu Airport;YIW
Yogyakarta، Indonesia;Yogyakarta International Airport;YIA
Yopal، Colombia;El Alcaraván Airport;EYP
Yuncheng، China;Yuncheng Guangong Airport;YCU
Yuzhno-Sakhalinsk، Russia;Yuzhno-Sakhalinsk Airport;UUS
Zacatecas، Mexico;Zacatecas International Airport;ZCL
Zadar، Croatia;Zadar Airport;ZAD
Zagreb، Croatia;Zagreb Airport;ZAG
Zahedan، Iran;Zahedan Airport;ZAH
Zakynthos، Greece;Zakynthos International Airport;ZTH
Zamboanga City، Philippines;Zamboanga International Airport;ZAM
Zangilan، Azerbaijan;Zangilan International Airport;ZZE
Zaporizhzhia، Ukraine;Zaporizhzhia International Airport;OZH
Zaqatala، Azerbaijan;Zaqatala International Airport;ZTU
Zaragoza، Spain;Zaragoza Airport;ZAZ
Zhangjiajie، China;Zhangjiajie Hehua Airport;DYG
Zhanjiang، China;Zhanjiang Wuchuan Airport;ZHA
Zhengzhou، China;Zhengzhou Xinzheng International Airport;CGO
Zhuhai، China;Zhuhai Jinwan Airport;ZUH
Žilina، Slovakia;Žilina Airport;ILZ
Zonguldak، Turkey;Zonguldak Airport;ONQ
Zunyi، China;Zunyi Xinzhou Airport;ZYI
Zürich، Switzerland;Zurich Airport;ZRH
